[0, '8', 'g/3#']
[250, '8', 'g/3']
[500, '4', 'g/3']
[1125, '16', '']
[1250, '16', 'e/4']
[1375, '16', '']
[1500, '8', 'e/4']
[1750, '8', 'e/4']
[2000, '4d', 'e/4']
[2750, '4d', 'f/4#']
[3500, '4', 'f/4#']
[4125, '16', '']
[4250, '4', 'e/4']
[4875, '8', 'e/4']
[5125, '4', '']
[5750, '16', 'c/4']
[5875, '16', '']
[6000, '4', 'd/4']
[6500, '4d', 'd/4']
[7250, '4d', 'c/4#']
[8000, '4', 'c/4#']
[8625, '4d', '']
[9375, '16', 'b/3']
[9500, '4', 'b/3']
[10125, '16', '']
[10250, '8d', 'g/3']
[10625, '4', 'g/3']
[11250, '4', '']
[11750, '4d', 'e/4']
[12500, '4d', 'e/4']
[13250, '16', 'd/4']
[13375, '8d', 'd/4']
[13750, '8', 'd/4']
[14000, '4d', 'd/4']
[14750, '4d', 'c/4#']
[15500, '8d', 'c/4#']
[15875, '16', '']
[16000, '8', 'c/4#']
[16250, '4d', 'b/3']
[17000, '16', '']
[17125, '8', 'b/3']
[17375, '8', '']
[17625, '16', 'e/4']
[17750, '16', '']
[17875, '4d', 'e/4']
[18625, '4', 'e/4']
[19250, '4d', 'd/4']
[20000, '16', '']
[20125, '4', 'd/4']
[20750, '8d', 'c/4#']
[21125, '16', '']
[21250, '8', 'c/4#']
[21500, '4', 'c/4#']
[22125, '16', '']
[22250, '4d', 'b/3']
[23125, '4d', '']
[24000, '4', 'g/3']
[24625, '4', 'g/3']
[25250, '16', '']
[25375, '4d', 'e/4']
[26125, '4d', 'e/4']
[26875, '4d', 'f/4#']
[27625, '16', '']
[27750, '4', 'f/4#']
[28375, '4d', '']
[29125, '8', 'e/4']
[29375, '4d', '']
[30125, '4', 'd/4']
[30625, '4d', 'd/4']
[31375, '8d', 'c/4#']
[31750, '4', 'c/4#']
[32250, '4', 'c/4#']
[32875, '4d', '']
[33625, '16', 'b/3']
[33750, '4', 'b/3']
[34250, '8', '']
[34500, '4', 'g/3']
[35000, '8d', 'g/3']
[35375, '8d', 'g/3']
[35750, None, '']
[42250, '16', 'g/3']
[42375, '16', '']
[42500, '4', 'g/3']
[43000, '4', 'g/3']
[43625, '16', '']
[43750, '4', 'e/4']
[44375, '4d', 'e/4']
[45125, '8d', 'f/4#']
[45500, '8d', 'f/4#']
[45875, '16', '']
[46000, '4', 'f/4#']
[46625, '16', '']
[46750, '4d', 'e/4']
[47625, '8', 'e/4']
[47875, '8d', '']
[48250, '8d', 'd/4']
[48625, '8d', 'd/4']
[49000, '16', '']
[49125, '8', 'd/6']
[49375, '8', '']
[49625, '16', 'd/4']
[49750, '16', '']
[49875, '4d', 'c/4#']
[50625, '4d', 'c/4#']
[51375, '4d', '']
[52250, '16', 'b/3']
[52375, '16', 'b/3']
[52500, '8d', 'b/3']
[52875, '4', 'g/3']
[53500, '4', 'g/3']
[54000, '8d', '']
[54375, '4d', 'e/4']
[55125, '16', '']
[55250, '4d', 'e/4']
[56000, '4d', 'd/4']
[56750, '4d', 'd/4']
[57500, '16', 'c/4#']
[57625, '8d', 'f/6']
[58000, '8d', 'c/4#']
[58375, '4', 'c/4#']
[59000, 'h', 'b/3']
[60750, '4d', 'e/4']
[61500, '4', 'e/4']
[62250, '4d', 'd/4']
[63000, '4d', 'd/4']
[64000, '4', 'c/4#']
[64500, '4', 'c/4#']
[65375, '4d', 'b/3']
[67000, '8', 'g/3']
[67250, '8', 'g/3']
[67500, '16', 'g/3']
[67625, '4', 'g/3']
[68500, '16', 'e/4']
[68625, '4', 'e/4']
[69250, '4d', 'e/4']
[70125, '4', 'f/4#']
[70750, '4', 'f/4#']
[71500, 'h', 'e/4']
[73250, '4d', 'd/4']
[74000, '4', 'd/4']
[74625, '4d', 'c/4#']
[75500, '4', 'c/4#']
[77000, '16', 'b/3']
[77125, '16', 'b/3']
[77375, '8', 'b/3']
[77625, '8', 'b/3']
[77875, '4', 'g/3']
[78625, '16', 'g/3']
